pit_stop_id,race_id,driver_id,constructor_id,lap,stop_number,duration_ms
500,847,67,5,45,3,20995
501,847,20,9,47,3,20331
502,847,39,163,44,3,26059
503,847,13,6,48,3,20404
504,847,18,1,48,3,20479
505,848,30,130,9,1,30242
506,848,2,4,10,1,24716
507,848,18,1,11,1,25070
508,848,16,10,11,1,25737
509,848,155,15,11,1,28448
510,848,813,3,11,1,26238
511,848,67,5,11,1,26279
512,848,809,4,11,1,24880
513,848,22,3,11,1,25860
514,848,10,165,11,1,25416
515,848,24,163,11,1,26643
516,848,816,165,11,1,28742
517,848,17,9,12,1,23973
518,848,4,6,12,1,26566
519,848,1,1,12,1,25100
520,848,814,10,12,1,26612
521,848,3,130,12,1,24722
522,848,815,15,12,1,25386
523,848,153,5,12,1,24719
524,848,817,163,12,1,25872
525,848,20,9,13,1,24818
526,848,13,6,13,1,24159
527,848,30,130,16,2,31751
528,848,155,15,20,2,31551
529,848,1,1,24,2,24065
530,848,814,10,24,2,45291
531,848,813,3,24,2,24272
532,848,16,10,25,2,24077
533,848,67,5,25,2,24620
534,848,17,9,26,2,25490
535,848,18,1,26,2,24287
536,848,13,6,26,2,23929
537,848,814,10,26,3,31471
538,848,20,9,27,2,31558
539,848,4,6,27,2,23974
540,848,816,165,28,2,25428
541,848,817,163,28,2,26942
542,848,3,130,30,2,24399
543,848,2,4,30,2,24434
544,848,10,165,30,2,24959
545,848,153,5,31,2,24095
546,848,30,130,31,3,24651
547,848,22,3,31,2,23955
548,848,815,15,32,2,25619
549,848,24,163,31,2,25505
550,848,813,3,35,3,23869
551,848,20,9,36,3,23137
552,848,1,1,37,3,23340
553,848,17,9,38,3,23785
554,848,809,4,38,2,24172
555,848,4,6,39,3,23474
556,848,18,1,39,3,23292
557,848,16,10,40,3,27240
558,848,13,6,41,3,23238
559,849,815,15,8,1,27247
560,849,67,5,10,1,27301
561,849,812,203,10,1,31879
562,849,17,9,14,1,20440
563,849,3,130,14,1,20348
564,849,30,130,15,1,20768
565,849,813,3,15,1,21601
566,849,1,1,16,1,20982
567,849,4,6,16,1,20430
568,849,20,9,16,1,20394
569,849,13,6,17,1,20344
570,849,155,15,20,1,20882
571,849,24,163,20,1,22048
572,849,817,163,21,1,22319
573,849,16,10,22,1,20839
574,849,10,165,22,1,22252
575,849,809,4,23,1,21449
576,849,153,5,23,1,21062
577,849,814,10,23,1,23676
578,849,18,1,24,1,20952
579,849,816,165,24,1,20762
580,849,5,203,26,1,22088
581,849,17,9,30,2,21299
582,849,812,203,28,2,22331
583,849,1,1,31,2,20496
584,849,4,6,32,2,20035
585,849,813,3,35,2,21057
586,849,3,130,36,2,20975
587,849,67,5,36,2,20954
588,849,30,130,37,2,20299
589,849,20,9,40,2,20274
590,849,13,6,41,2,20185
591,849,815,15,41,2,21645
592,849,153,5,43,2,21689
593,849,809,4,46,2,20572
594,849,16,10,48,2,20879
595,849,155,15,48,2,21267
596,849,10,165,48,2,21252
597,849,1,1,51,3,20403
598,849,816,165,49,2,23588
599,849,817,163,49,2,24053
600,849,5,203,50,2,21175
601,849,814,10,51,2,22535
602,849,4,6,53,3,19975
603,849,3,130,53,3,20047
604,849,812,203,51,3,22458
605,849,17,9,56,3,20324
606,849,30,130,56,3,19930
607,849,13,6,59,3,21903
608,849,20,9,59,3,20110
609,850,17,9,10,1,20854
610,850,13,6,10,1,22293
611,850,809,4,10,1,25532
612,850,22,3,10,1,22640
613,850,18,1,11,1,21786
614,850,814,10,11,1,22262
615,850,813,3,11,1,23397
616,850,2,4,11,1,21371
617,850,10,165,11,1,22222
618,850,816,165,11,1,25337
619,850,1,1,12,1,21880
620,850,20,9,12,1,20690
621,850,4,6,12,1,22886
622,850,3,130,12,1,20767
623,850,155,15,12,1,23725
624,850,67,5,12,1,22349
625,850,5,203,12,1,22772
626,850,16,10,12,1,21902
627,850,815,15,12,1,22215
628,850,24,163,12,1,23633
629,850,30,130,13,1,21948
630,850,153,5,13,1,23734
631,850,15,203,13,1,23118
632,850,817,163,13,1,22844
633,850,813,3,16,2,13186
634,850,2,4,23,2,25434
635,850,22,3,24,2,22217
636,850,153,5,24,2,22552
637,850,5,203,24,2,22147
638,850,815,15,24,2,20570
639,850,17,9,25,2,20000
640,850,4,6,25,2,23208
641,850,13,6,25,2,21138
642,850,809,4,25,2,24194
643,850,67,5,25,2,21460
644,850,1,1,26,2,20803
645,850,30,130,26,2,20071
646,850,24,163,25,2,22501
647,850,16,10,26,2,20589
648,850,18,1,27,2,21065
649,850,3,130,27,2,19939
650,850,814,10,27,2,20801
651,850,20,9,28,2,20611
652,850,813,3,28,3,21426
653,850,10,165,28,2,20613
654,850,817,163,28,2,23563
655,850,816,165,29,2,20916
656,850,815,15,32,3,13201
657,850,155,15,34,2,22852
658,850,4,6,36,3,19936
659,850,22,3,37,3,20580
660,850,17,9,39,3,20673
661,850,24,163,37,3,27839
662,850,1,1,40,3,20861
663,850,13,6,40,3,22453
664,850,20,9,41,3,19664
665,850,18,1,42,3,20046
666,850,814,10,42,3,20935
667,850,67,5,43,3,20360
668,850,5,203,43,3,20990
669,850,815,15,44,4,20917
670,850,817,163,43,3,21651
671,850,4,6,47,4,20126
672,850,153,5,47,3,21345
673,850,816,165,47,3,49849
674,850,3,130,50,3,20563
675,850,17,9,51,4,21122
676,850,809,4,50,3,21353
677,850,22,3,50,4,31539
678,850,5,203,49,4,22364
679,850,16,10,50,3,21796
680,850,24,163,48,4,23010
681,850,813,3,50,4,23016
682,850,1,1,52,4,20855
683,850,17,9,53,5,20715
684,850,22,3,52,5,25596
685,850,1,1,54,5,21628
686,850,809,4,53,4,21609
687,850,5,203,52,5,21715
688,850,16,10,53,4,21503
689,850,816,165,51,4,22470
690,850,3,130,54,4,23244
691,850,813,3,53,5,22825
692,850,24,163,51,5,22458
693,850,10,165,53,3,20929
694,850,1,1,56,6,13173
695,850,13,6,58,4,21157
696,850,155,15,62,3,21258
697,851,10,165,1,1,35092
698,851,811,4,1,1,30795
699,851,5,203,1,1,28539
700,851,17,9,3,1,21015
701,851,18,1,3,1,26046
702,851,30,130,4,1,20153
703,851,20,9,5,1,20898
704,851,815,15,5,1,26092
705,851,10,165,6,2,13914
706,851,4,6,8,1,20994
707,851,811,4,8,2,13968
708,851,13,6,9,1,22267
709,851,1,1,10,1,21895
710,851,3,130,11,1,23090
711,851,24,163,11,1,21766
712,851,809,4,12,1,21395
713,851,813,3,12,1,21421
714,851,20,9,13,2,21411
715,851,16,10,13,1,22773
716,851,22,3,13,1,21818
717,851,30,130,13,2,20226
718,851,18,1,13,2,21756
719,851,817,163,13,1,23780
720,851,15,203,13,1,22159
721,851,816,165,13,1,22939
722,851,5,203,13,2,22009
723,851,155,15,14,1,24161
724,851,814,10,14,1,21334
725,851,10,165,14,3,24204
726,851,811,4,21,3,20756
727,851,815,15,22,2,14089
728,851,815,15,23,3,23883
729,851,24,163,27,2,30959
730,851,4,6,29,2,21243
731,851,813,3,29,2,22303
732,851,155,15,29,2,21269
733,851,20,9,30,3,20786
734,851,3,130,30,2,21171
735,851,13,6,30,2,21856
736,851,809,4,30,2,21979
737,851,814,10,30,2,21350
738,851,17,9,31,2,20947
739,851,16,10,31,2,20983
740,851,30,130,31,3,21319
741,851,22,3,31,2,21478
742,851,15,203,31,2,21484
743,851,18,1,32,3,21640
744,851,13,6,32,3,21485
745,851,5,203,33,3,22306
746,851,10,165,35,4,21721
747,851,816,165,36,2,22114
748,851,22,3,40,3,47753
749,852,155,15,1,1,27550
750,852,22,3,1,1,29157
751,852,811,4,2,1,22534
752,852,817,163,1,1,1004718
753,852,15,203,5,1,30391
754,852,814,10,13,1,21870
755,852,30,130,16,1,22709
756,852,67,5,16,1,24234
757,852,18,1,17,1,21660
758,852,1,1,18,1,22083
759,852,155,15,18,2,22939
760,852,4,6,19,1,22539
761,852,813,3,19,1,23063
762,852,811,4,19,2,23145
763,852,20,9,20,1,22124
764,852,153,5,20,1,21988
765,852,10,165,20,1,25147
766,852,13,6,21,1,21821
767,852,5,203,21,1,23298
768,852,15,203,24,2,23420
769,852,814,10,31,2,23069
770,852,22,3,32,2,23414
771,852,18,1,33,2,22095
772,852,817,163,20,2,30777
773,852,4,6,34,2,21989
774,852,1,1,34,2,21876
775,852,20,9,35,2,21378
776,852,5,203,35,2,22611
777,852,30,130,37,2,22014
778,852,813,3,37,2,22614
779,852,10,165,38,2,22784
780,852,67,5,40,2,24086
781,852,811,4,40,3,22273
782,852,13,6,41,2,22148
783,852,153,5,41,2,22279
784,853,817,163,1,1,44170
785,853,3,130,9,1,29549
786,853,4,6,10,1,30621
787,853,30,130,10,1,29610
788,853,811,4,10,1,35398
789,853,13,6,11,1,30290
790,853,1,1,11,1,30142
791,853,16,10,11,1,30718
792,853,813,3,11,1,30888
793,853,67,5,11,1,32827
794,853,5,203,11,1,32202
795,853,811,4,11,2,36856
796,853,17,9,12,1,30462
797,853,22,3,12,1,30456
798,853,13,6,12,2,32351
799,853,1,1,13,2,33456
800,853,24,163,13,1,34329
801,853,20,9,14,1,30023
802,853,18,1,14,1,30169
803,853,815,15,15,1,30810
804,853,1,1,15,3,24342
805,853,155,15,16,1,30464
806,853,15,203,16,1,31048
807,853,809,4,16,1,30807
808,853,817,163,15,2,34782
809,853,816,165,16,1,31763
810,853,153,5,17,1,30948
811,853,814,10,19,1,30704
812,853,15,203,19,2,33317
813,853,3,130,22,2,29417
814,853,30,130,24,2,29473
815,853,13,6,24,3,30478
816,853,153,5,24,2,24299
817,853,4,6,25,2,30387
818,853,813,3,25,2,30187
819,853,5,203,26,2,31621
820,853,24,163,26,2,32122
821,853,17,9,29,2,31204
822,853,816,165,28,2,31592
823,853,814,10,29,2,29764
824,853,16,10,29,2,33418
825,853,3,130,29,3,30261
826,853,815,15,29,2,33344
827,853,817,163,27,3,33058
828,853,811,4,28,3,30832
829,853,1,1,29,4,30706
830,853,20,9,30,2,30809
831,853,155,15,29,2,31602
832,853,18,1,30,2,29921
833,853,809,4,29,2,30625
834,853,22,3,30,2,30544
835,853,67,5,31,2,31394
836,853,153,5,35,3,31836
837,853,155,15,40,3,24715
838,853,13,6,41,4,30983
839,853,813,3,45,3,30477
840,853,15,203,44,3,31168
841,853,17,9,47,3,30413
842,853,24,163,45,3,31687
843,853,18,1,48,3,30305
844,853,1,1,48,5,29876
845,853,5,203,47,3,31207
846,853,20,9,49,3,30796
847,853,809,4,47,3,30485
848,853,4,6,49,3,29972
849,853,67,5,49,3,32739
850,853,24,163,46,4,42920
851,853,811,4,48,4,30987
852,853,155,15,53,4,30869
853,854,1,1,8,1,21091
854,854,16,10,8,1,21511
855,854,24,163,8,1,28244
856,854,20,9,9,1,22374
857,854,30,130,9,1,20667
858,854,18,1,10,1,21094
859,854,4,6,10,1,21147
860,854,17,9,10,1,21820
861,854,814,10,10,1,21964
862,854,155,15,10,1,24263
863,854,5,203,10,1,21412
864,854,13,6,11,1,21313
865,854,67,5,11,1,21849
866,854,15,203,11,1,21636
867,854,817,163,11,1,23723
868,854,22,3,12,1,22130
869,854,3,130,12,1,20575
870,854,10,165,12,1,25563
871,854,816,165,13,1,23013
872,854,811,4,15,1,25927
873,854,813,3,16,1,21339
874,854,153,5,17,1,21792
875,854,809,4,18,1,21304
876,854,20,9,19,2,21596
877,854,17,9,19,2,21369
878,854,18,1,20,2,20713
879,854,10,165,19,2,21726
880,854,815,15,20,1,21655
881,854,4,6,21,2,21319
882,854,1,1,21,2,22821
883,854,13,6,22,2,21214
884,854,5,203,22,2,21519
885,854,817,163,22,2,23172
886,854,16,10,23,2,21337
887,854,816,165,23,2,22258
888,854,30,130,24,2,22570
889,854,814,10,24,2,21964
890,854,155,15,24,2,22299
891,854,22,3,24,2,22736
892,854,3,130,24,2,20665
893,854,24,163,23,2,24716
894,854,15,203,24,2,22233
895,854,813,3,25,2,21075
896,854,20,9,33,3,21705
897,854,17,9,34,3,21455
898,854,1,1,35,3,21292
899,854,814,10,35,3,21553
900,854,811,4,35,2,22466
901,854,18,1,36,3,20998
902,854,13,6,36,3,21100
903,854,153,5,36,2,22584
904,854,24,163,35,3,22631
905,854,4,6,37,3,20731
906,854,815,15,37,2,24461
907,854,16,10,37,3,21839
908,854,22,3,37,3,21890
909,854,5,203,37,3,22532
910,854,10,165,36,3,22877
911,854,15,203,38,3,22156
912,854,816,165,37,3,24269
913,854,809,4,39,2,20832
914,854,817,163,38,3,22910
915,854,30,130,41,3,20879
916,854,3,130,41,3,20809
917,854,813,3,41,3,21012
918,855,24,163,1,1,26379
919,855,155,15,10,1,21623
920,855,22,3,10,1,21722
921,855,814,10,11,1,22075
922,855,15,203,12,1,22441
923,855,18,1,13,1,20766
